"Year","Age0","Age1","Age2","Age3","Age4"
1989,911.985,452.878,224.893,111.678,110.163
1990,732.383,358.932,176.228,86.7742,85.1133
1991,552.922,262.572,125.462,60.5366,58.5778
1992,433.338,201.626,94.66,45.0786,43.2386
1993,1185.48,361.314,167.776,78.6314,73.2367
1994,908.91,269.658,122.341,56.3528,51.8816
1995,708.199,205.509,91.4747,41.539,37.8805
1996,555.825,158.1,69.1703,31.0091,28.0358
1997,1122.63,442.906,124.046,53.552,45.1172
1998,901.985,351.252,97.2779,41.6455,34.89
1999,625.401,230.093,60.6777,25.0443,20.475
2000,501.33,181.934,47.4144,19.3981,15.7657
2001,858.235,412.216,148.676,38.5418,28.437
2002,682.191,322.391,114.665,29.4164,21.5532
2003,529.801,244.652,85.2983,21.5596,15.6401
2004,430.136,196.667,67.9842,17.074,12.3333
2005,688.032,360.976,165.031,57.0441,24.6734
2006,555.257,287.925,130.312,44.705,19.2391
2007,441.284,225.133,100.474,34.1101,14.5771
2008,366.232,186.21,82.8605,28.0691,11.978
2009,754.62,304.95,154.677,68.6859,33.1346
2010,611.454,244.511,122.903,54.2084,26.0325
2011,452.012,174.052,84.6839,36.4545,17.2242
2012,373.517,143.155,69.371,29.7729,14.039
2013,784.566,311.423,119.115,57.621,36.3335
2014,652.194,258.128,98.4835,47.5514,29.9465
2015,544.975,215.397,82.0838,39.5982,24.9231
2016,453.187,178.618,67.9034,32.6984,20.5556
2017,1120.2,376.154,147.759,56.0095,43.8068
2018,938.757,315.066,123.708,46.8777,36.6565
2019,759.466,252.11,98.0568,36.8959,28.7152
2020,618.371,203.419,78.5024,29.3663,22.766
2021,1044.8,506.922,165.585,63.5145,41.9327
2022,846.906,406.658,131.649,50.1608,32.9686
1989,677.109,320.45,102.453,38.6745,25.2611
1990,510.955,234.279,72.8861,26.9587,17.3704
1991,1097.35,412.902,187.191,57.6716,34.7551
1992,855.767,315.031,140.152,42.5756,25.4172
1993,644.366,229.667,99.3686,29.5654,17.4065
1994,446.685,150.407,61.9618,17.7733,10.211
1995,842.579,288.924,90.0338,34.6947,14.7294
1996,636.65,211.588,64.1808,24.2396,10.1532
1997,455.16,144.222,41.9842,15.3772,6.31009
1998,321.587,96.81,26.9648,9.55602,3.83587
1999,1103.33,245.412,71.8151,19.5204,9.48656
2000,903.24,199.413,57.9806,15.6845,7.59798
2001,725.347,158.043,45.433,12.1865,5.87008
2002,578.891,124.252,35.2597,9.36681,4.4828
2003,1266.78,461.29,97.49,27.2986,10.5935
2004,1014.89,364.472,76.1125,21.1232,8.14828
2005,716.519,244.417,48.8275,13.1098,4.94638
2006,472.538,150.038,28.1769,7.22425,2.64293
2007,1326.79,356.02,109.468,19.9963,6.83395
2008,1021.3,267.079,80.3171,14.4303,4.87735
2009,718.188,178.184,51.2078,8.89406,2.93882
2010,484.947,112.78,30.6537,5.1071,1.64119
2011,855.949,373.637,84.7074,22.5234,4.86488
2012,675.524,289.52,64.6075,16.9774,3.63817
2013,469.971,190.489,40.5119,10.2702,2.14862
2014,359.969,141.983,29.4954,7.34753,1.51926
2015,719.659,288.261,112.117,23.0114,6.84848
2016,549.423,213.952,81.2169,16.3696,4.81303
2017,388.988,144.002,52.33,10.2095,2.93714
2018,273.827,96.2028,33.4185,6.30411,1.77324
2019,1201,206.803,70.4084,23.8047,5.62193
2020,923.278,154.879,51.5551,17.1398,4.00259
2021,653.194,104.142,33.1802,10.6761,2.43921
2022,513.567,80.3026,25.1592,7.99451,1.81131
1989,1682.19,427.293,66.6359,20.8297,8.1029
1990,1337.39,334.266,51.4074,15.9033,6.14361
1991,987.093,237.455,35.3343,10.6653,4.05286
1992,809.401,193.356,28.5998,8.59389,3.25593
1993,907.408,678.65,162.064,23.964,9.92639
1994,714.574,524.376,123.19,17.9946,7.39308
1995,537.828,382.08,87.286,12.4868,5.05909
1996,414.59,287.162,64.1852,9.03365,3.62036
1997,594.406,339.193,233.151,51.7707,10.1469
1998,483.555,273.375,186.404,41.1429,8.03159
1999,379.623,210.388,141.016,30.7288,5.94747
2000,298.393,162.169,106.881,22.9995,4.4142
2001,709.614,238.211,127.543,82.9844,21.0593
2002,577.55,192.105,102.045,66.0032,16.6838
2003,444.496,144.081,74.8515,47.6171,11.9034
2004,342.826,108.363,55.0871,34.4809,8.5267
2005,607.763,284.227,89.5088,45.3576,35.3163
2006,508.031,237.287,74.6454,37.7951,29.412
2007,375.338,168.782,51.3862,25.3908,19.439
2008,288.844,126.574,37.6874,18.315,13.8668
2009,883.271,236.192,102.698,30.3733,25.7692
2010,681.705,177.796,75.6608,22.0204,18.4828
2011,474.92,117.189,47.5437,13.3527,10.9435
2012,317.667,73.2696,28.0455,7.54193,6.00422
2013,620.383,245.166,55.1522,20.661,9.77374
2014,471.13,180.721,39.6247,14.5625,6.80112
2015,298.845,105.476,21.5248,7.49802,3.37855
2016,204.616,67.975,13.1664,4.41118,1.93652
2017,743.827,170.824,56.6563,10.9585,5.27659
2018,600.62,136.353,44.7756,8.59649,4.11874
2019,414.105,88.6691,27.6856,5.11907,2.39168
2020,224.039,42.1012,11.7465,1.99699,0.88205
2021,2265,175.941,32.414,8.89057,2.14587
2022,1756.83,133.298,24.0656,6.50174,1.5535
1989,1224.15,87.8802,15.1266,3.94377,0.920133
1990,821.423,55.1724,8.96725,2.23994,0.507853
1991,1214.21,664.704,44.1619,7.11055,2.16175
1992,955.865,513.387,33.552,5.33633,1.60908
1993,708.409,366.651,23.2096,3.60452,1.0697
1994,527.439,263.425,16.1705,2.45438,0.717291
1995,493.692,403.508,196.045,11.7516,2.25836
1996,382.034,304.784,145.024,8.559,1.62779
1997,269.223,203.903,92.77,5.29498,0.984744
1998,175.757,123.531,52.6977,2.86665,0.516263
1999,493.02,128.375,86.5738,35.6388,2.22177
2000,370.588,93.3797,61.2169,24.6739,1.51663
2001,224.753,51.4177,31.0148,11.7475,0.692685
2002,145.069,30.6952,17.3099,6.23528,0.35551
2003,937.345,114.209,23.709,13.1522,4.94448
2004,770.158,93.2421,19.2503,10.6351,3.98725
2005,498.567,55.8754,10.793,5.67375,2.05765
2006,339.106,35.7008,6.53417,3.29953,1.16484
2007,945.469,261.078,26.7887,4.79559,3.21353
2008,774.855,212.445,21.6649,3.8606,2.57907
2009,567.168,149.298,14.7002,2.55179,1.67511
2010,387.622,95.988,8.96626,1.49645,0.956848
2011,962.333,282.652,67.1255,6.04809,1.59968
2012,739.266,211.485,49.0963,4.34926,1.13738
2013,509.873,137.589,30.3735,2.59148,0.660886
2014,312.248,76.7227,15.6226,1.25495,0.307391
2015,975.389,215.254,49.8834,9.6577,0.925577
2016,780.278,169.748,38.8552,7.45362,0.709953
2017,468.467,92.2526,19.3793,3.48681,0.318183
2018,254.043,43.9358,8.2522,1.36579,0.11786
2019,911.985,184.014,30.4598,5.50898,0.961489
2020,765.571,154.472,25.5696,4.62454,0.807126
2021,642.66,129.671,21.4644,3.88207,0.677541
2022,539.482,108.853,18.0183,3.25879,0.568759
